Stat,Player,Allycode,Score
stars,KingK0n,329415631,261
stars,Oicis,855267675,309
stars,Sem,196429666,179
stars,Baxxter Ψ,155398282,291
stars,Zakalwe,959123267,252
stars,BurglarBeagle,384891228,212
stars,Themi,369992749,249
stars,xcorpio,831499314,243
stars,GrandMoffR10,216462581,267
stars,Bluescout99,347221112,238
stars,SlizzyFizz,125167493,267
stars,ŒArsmant,973534937,229
stars,Loreck Avery,163499779,253
stars,Sexbobomb,396197254,273
stars,DarthYinzer,682841274,315
stars,Gladiator Motoko,683258588,294
stars,Corey Gandy,241213166,227
stars,SithHunter,574967428,280
stars,Shadowcat USM,825149629,230
stars,Gibrise USM,731149156,288
stars,Rann,994385236,224
stars,Ceth Senpai,474166757,256
stars,Eckle,228335419,255
stars,Pдсо,238227159,235
stars,DANTE,417327527,234
stars,Bro Beans,891261494,207
stars,Brill Adrien,876538381,243
stars,Seandwe,737873335,251
stars,Zeb,471321961,233
stars,RaaRaven,318429567,218
stars,Spicewood Foo,969812774,0
stars,X'loor Bintaghr,125796381,0
stars,Torque,632691185,0
stars,Lax Hatif,247151728,0
stars,Spicewood Bar,168693856,0
stars,Panamonn,935795417,0
stars,Daxx Zanon,515149882,0
stars,TAURUS,663542869,0
stars,Heisenberg,892234357,0
stars,Maz897,853861723,0
stars,DarthBalken,962597524,0
stars,Nerf Herder,222622523,0
stars,Beyla,173624533,0
stars,Smilol,663333121,0
stars,PhoenixRed11,841797886,0
stars,Coimba,685713638,0
stars,White dead,298782957,0
stars,Garbmutt,872156571,0
set_defense_stars,KingK0n,329415631,124
set_defense_stars,Oicis,855267675,184
set_defense_stars,Sem,196429666,120
set_defense_stars,Baxxter Ψ,155398282,154
set_defense_stars,Zakalwe,959123267,154
set_defense_stars,BurglarBeagle,384891228,154
set_defense_stars,Themi,369992749,124
set_defense_stars,xcorpio,831499314,184
set_defense_stars,GrandMoffR10,216462581,154
set_defense_stars,Bluescout99,347221112,124
set_defense_stars,SlizzyFizz,125167493,154
set_defense_stars,ŒArsmant,973534937,154
set_defense_stars,Loreck Avery,163499779,154
set_defense_stars,Sexbobomb,396197254,154
set_defense_stars,DarthYinzer,682841274,184
set_defense_stars,Gladiator Motoko,683258588,218
set_defense_stars,Corey Gandy,241213166,188
set_defense_stars,SithHunter,574967428,184
set_defense_stars,Shadowcat USM,825149629,154
set_defense_stars,Gibrise USM,731149156,154
set_defense_stars,Rann,994385236,154
set_defense_stars,Ceth Senpai,474166757,124
set_defense_stars,Eckle,228335419,124
set_defense_stars,Pдсо,238227159,154
set_defense_stars,DANTE,417327527,154
set_defense_stars,Bro Beans,891261494,154
set_defense_stars,Brill Adrien,876538381,154
set_defense_stars,Seandwe,737873335,154
set_defense_stars,Zeb,471321961,154
set_defense_stars,RaaRaven,318429567,184
set_defense_stars,Spicewood Foo,969812774,0
set_defense_stars,X'loor Bintaghr,125796381,0
set_defense_stars,Torque,632691185,0
set_defense_stars,Lax Hatif,247151728,0
set_defense_stars,Spicewood Bar,168693856,0
set_defense_stars,Panamonn,935795417,0
set_defense_stars,Daxx Zanon,515149882,0
set_defense_stars,TAURUS,663542869,0
set_defense_stars,Heisenberg,892234357,0
set_defense_stars,Maz897,853861723,0
set_defense_stars,DarthBalken,962597524,0
set_defense_stars,Nerf Herder,222622523,0
set_defense_stars,Beyla,173624533,0
set_defense_stars,Smilol,663333121,0
set_defense_stars,PhoenixRed11,841797886,0
set_defense_stars,Coimba,685713638,0
set_defense_stars,White dead,298782957,0
set_defense_stars,Garbmutt,872156571,0
attack_stars,KingK0n,329415631,137
attack_stars,Oicis,855267675,125
attack_stars,Sem,196429666,59
attack_stars,Baxxter Ψ,155398282,137
attack_stars,Zakalwe,959123267,98
attack_stars,BurglarBeagle,384891228,58
attack_stars,Themi,369992749,125
attack_stars,xcorpio,831499314,59
attack_stars,GrandMoffR10,216462581,113
attack_stars,Bluescout99,347221112,114
attack_stars,SlizzyFizz,125167493,113
attack_stars,Loreck Avery,163499779,99
attack_stars,ŒArsmant,973534937,75
attack_stars,Sexbobomb,396197254,119
attack_stars,DarthYinzer,682841274,131
attack_stars,SithHunter,574967428,96
attack_stars,Corey Gandy,241213166,39
attack_stars,Gladiator Motoko,683258588,76
attack_stars,Shadowcat USM,825149629,76
attack_stars,Gibrise USM,731149156,134
attack_stars,Rann,994385236,70
attack_stars,Ceth Senpai,474166757,132
attack_stars,Eckle,228335419,131
attack_stars,Pдсо,238227159,81
attack_stars,DANTE,417327527,80
attack_stars,Bro Beans,891261494,53
attack_stars,Brill Adrien,876538381,89
attack_stars,Seandwe,737873335,97
attack_stars,Zeb,471321961,79
attack_stars,RaaRaven,318429567,34
attack_stars,Spicewood Foo,969812774,0
attack_stars,X'loor Bintaghr,125796381,0
attack_stars,Torque,632691185,0
attack_stars,Lax Hatif,247151728,0
attack_stars,Spicewood Bar,168693856,0
attack_stars,Panamonn,935795417,0
attack_stars,Daxx Zanon,515149882,0
attack_stars,TAURUS,663542869,0
attack_stars,Heisenberg,892234357,0
attack_stars,Maz897,853861723,0
attack_stars,DarthBalken,962597524,0
attack_stars,Nerf Herder,222622523,0
attack_stars,Beyla,173624533,0
attack_stars,Smilol,663333121,0
attack_stars,PhoenixRed11,841797886,0
attack_stars,Coimba,685713638,0
attack_stars,White dead,298782957,0
attack_stars,Garbmutt,872156571,0
disobey,KingK0n,329415631,9
disobey,Oicis,855267675,11
disobey,Sem,196429666,3
disobey,Baxxter Ψ,155398282,7
disobey,Zakalwe,959123267,5
disobey,BurglarBeagle,384891228,3
