Stat,Player,Allycode,Score
stars,KingK0n,329415631,264
stars,Smilol,663333121,232
stars,Lax Hatif,247151728,285
stars,DarthBalken,962597524,295
stars,Oicis,855267675,324
stars,Spicewood Foo,969812774,254
stars,Sem,196429666,216
stars,White dead,298782957,262
stars,Zakalwe,959123267,255
stars,Torque,632691185,291
stars,BurglarBeagle,384891228,244
stars,Beyla,173624533,233
stars,Denozvr,175937456,232
stars,Themi,369992749,280
stars,l2ed Leader,857421387,262
stars,xcorpio,831499314,295
stars,Nerf Herder,222622523,255
stars,GrandMoffR10,216462581,273
stars,Maz897,853861723,273
stars,Bluescout99,347221112,239
stars,SlizzyFizz,125167493,283
stars,ŒArsmant,973534937,242
stars,Loreck Avery,163499779,267
stars,Sexbobomb,396197254,278
stars,Coimba,685713638,262
stars,DarthYinzer,682841274,277
stars,SithHunter,574967428,264
stars,Gladiator Motoko,683258588,275
stars,Corey Gandy,241213166,196
stars,DarthYoda,288674763,270
stars,Shadowcat USM,825149629,275
stars,Heisenberg,892234357,158
stars,Gibrise USM,731149156,307
stars,TAURUS,663542869,164
stars,PhoenixRed11,841797886,192
stars,Rann,994385236,251
stars,Ceth Senpai,474166757,245
stars,Eckle,228335419,214
stars,Pдсо,238227159,236
stars,DANTE,417327527,293
stars,Bro Beans,891261494,254
stars,Brill Adrien,876538381,254
stars,Seandwe,737873335,284
stars,X'loor Bintaghr,125796381,252
stars,RaaRaven,318429567,275
stars,Daxx Zanon,515149882,0
stars,Kilum Natta,192664314,0
stars,Spicewood Bar,168693856,0
stars,Spicewood Fix,943675763,0
set_defense_stars,KingK0n,329415631,154
set_defense_stars,Smilol,663333121,154
set_defense_stars,Lax Hatif,247151728,124
set_defense_stars,DarthBalken,962597524,154
set_defense_stars,Oicis,855267675,184
set_defense_stars,Spicewood Foo,969812774,184
set_defense_stars,Sem,196429666,154
set_defense_stars,White dead,298782957,184
set_defense_stars,Zakalwe,959123267,154
set_defense_stars,Torque,632691185,154
set_defense_stars,BurglarBeagle,384891228,184
set_defense_stars,Beyla,173624533,154
set_defense_stars,Denozvr,175937456,124
set_defense_stars,Themi,369992749,124
set_defense_stars,l2ed Leader,857421387,154
set_defense_stars,xcorpio,831499314,184
set_defense_stars,Nerf Herder,222622523,154
set_defense_stars,GrandMoffR10,216462581,154
set_defense_stars,Maz897,853861723,154
set_defense_stars,Bluescout99,347221112,124
set_defense_stars,SlizzyFizz,125167493,154
set_defense_stars,ŒArsmant,973534937,154
set_defense_stars,Loreck Avery,163499779,154
set_defense_stars,Sexbobomb,396197254,154
set_defense_stars,Coimba,685713638,184
set_defense_stars,DarthYinzer,682841274,184
set_defense_stars,SithHunter,574967428,184
set_defense_stars,Gladiator Motoko,683258588,218
set_defense_stars,Corey Gandy,241213166,154
set_defense_stars,DarthYoda,288674763,154
set_defense_stars,Shadowcat USM,825149629,154
set_defense_stars,Heisenberg,892234357,124
set_defense_stars,Gibrise USM,731149156,154
set_defense_stars,TAURUS,663542869,124
set_defense_stars,PhoenixRed11,841797886,154
set_defense_stars,Rann,994385236,154
set_defense_stars,Ceth Senpai,474166757,124
set_defense_stars,Eckle,228335419,154
set_defense_stars,Pдсо,238227159,154
set_defense_stars,DANTE,417327527,154
set_defense_stars,Bro Beans,891261494,154
set_defense_stars,Brill Adrien,876538381,154
set_defense_stars,Seandwe,737873335,184
set_defense_stars,X'loor Bintaghr,125796381,154
set_defense_stars,RaaRaven,318429567,184
set_defense_stars,Daxx Zanon,515149882,0
set_defense_stars,Kilum Natta,192664314,0
set_defense_stars,Spicewood Bar,168693856,0
set_defense_stars,Spicewood Fix,943675763,0
attack_stars,KingK0n,329415631,110
attack_stars,Smilol,663333121,78
attack_stars,Lax Hatif,247151728,161
attack_stars,DarthBalken,962597524,141
attack_stars,Oicis,855267675,140
attack_stars,Spicewood Foo,969812774,70
attack_stars,Sem,196429666,62
attack_stars,White dead,298782957,78
attack_stars,Zakalwe,959123267,101
attack_stars,Torque,632691185,137
attack_stars,BurglarBeagle,384891228,60
attack_stars,Beyla,173624533,79
attack_stars,Denozvr,175937456,108
attack_stars,Themi,369992749,156
attack_stars,xcorpio,831499314,111
attack_stars,l2ed Leader,857421387,108
attack_stars,Nerf Herder,222622523,101
attack_stars,GrandMoffR10,216462581,119
attack_stars,Maz897,853861723,119
attack_stars,Bluescout99,347221112,115
attack_stars,SlizzyFizz,125167493,129
attack_stars,Loreck Avery,163499779,113
attack_stars,ŒArsmant,973534937,88
attack_stars,Sexbobomb,396197254,124
attack_stars,DarthYinzer,682841274,93
attack_stars,Coimba,685713638,78
attack_stars,SithHunter,574967428,80
attack_stars,Corey Gandy,241213166,42
attack_stars,Gladiator Motoko,683258588,57
attack_stars,DarthYoda,288674763,116
attack_stars,Shadowcat USM,825149629,121
attack_stars,Heisenberg,892234357,34
attack_stars,Gibrise USM,731149156,153
attack_stars,TAURUS,663542869,40
attack_stars,PhoenixRed11,841797886,38
attack_stars,Rann,994385236,97
attack_stars,Ceth Senpai,474166757,121
attack_stars,Eckle,228335419,60
attack_stars,Pдсо,238227159,82
attack_stars,DANTE,417327527,139
attack_stars,Bro Beans,891261494,100
attack_stars,Brill Adrien,876538381,100
attack_stars,Seandwe,737873335,100
attack_stars,X'loor Bintaghr,125796381,98
attack_stars,RaaRaven,318429567,91
attack_stars,Daxx Zanon,515149882,0
attack_stars,Kilum Natta,192664314,0
attack_stars,Spicewood Bar,168693856,0
attack_stars,Spicewood Fix,943675763,0
disobey,KingK0n,329415631,7
disobey,Smilol,663333121,4
disobey,Lax Hatif,247151728,9
disobey,DarthBalken,962597524,7
disobey,Oicis,855267675,7
disobey,Spicewood Foo,969812774,5
disobey,Sem,196429666,3
disobey,White dead,298782957,4
disobey,Zakalwe,959123267,5
disobey,Torque,632691185,7
disobey,BurglarBeagle,384891228,3
disobey,Beyla,173624533,5
disobey,Denozvr,175937456,6
disobey,Themi,369992749,9
disobey,xcorpio,831499314,6
disobey,l2ed Leader,857421387,8
disobey,Nerf Herder,222622523,7
disobey,GrandMoffR10,216462581,6
disobey,Maz897,853861723,7
disobey,Bluescout99,347221112,6
disobey,SlizzyFizz,125167493,7
disobey,Loreck Avery,163499779,7
disobey,ŒArsmant,973534937,6
disobey,Sexbobomb,396197254,12
disobey,Coimba,685713638,4
disobey,DarthYinzer,682841274,5
disobey,SithHunter,574967428,4
disobey,Corey Gandy,241213166,3
disobey,Gladiator Motoko,683258588,3
disobey,DarthYoda,288674763,6
disobey,Shadowcat USM,825149629,7
disobey,Heisenberg,892234357,3
disobey,Gibrise USM,731149156,10
disobey,TAURUS,663542869,3
disobey,PhoenixRed11,841797886,2
disobey,Rann,994385236,6
disobey,Ceth Senpai,474166757,6
disobey,Eckle,228335419,4
disobey,Pдсо,238227159,4
disobey,DANTE,417327527,8
disobey,Bro Beans,891261494,5
disobey,Brill Adrien,876538381,5
disobey,Seandwe,737873335,6
disobey,X'loor Bintaghr,125796381,6
disobey,RaaRaven,318429567,6
disobey,Daxx Zanon,515149882,0
disobey,Kilum Natta,192664314,0
disobey,Spicewood Bar,168693856,0
disobey,Spicewood Fix,943675763,0
