Stat,Player,Allycode,Score
stars,Smilol,663333121,233
stars,KingK0n,329415631,189
stars,Lax Hatif,247151728,293
stars,DarthBalken,962597524,270
stars,Oicis,855267675,274
stars,Spicewood Foo,969812774,270
stars,Sem,196429666,196
stars,White dead,298782957,211
stars,Baxxter Ψ,155398282,251
stars,Zakalwe,959123267,253
stars,BurglarBeagle,384891228,255
stars,Torque,632691185,228
stars,Beyla,173624533,233
stars,Themi,369992749,255
stars,l2ed Leader,857421387,246
stars,xcorpio,831499314,325
stars,Nerf Herder,222622523,339
stars,GrandMoffR10,216462581,291
stars,Bluescout99,347221112,220
stars,SlizzyFizz,125167493,303
stars,ŒArsmant,973534937,193
stars,Loreck Avery,163499779,254
stars,Sexbobomb,396197254,269
stars,DarthYinzer,682841274,309
stars,Coimba,685713638,261
stars,Gladiator Motoko,683258588,271
stars,Corey Gandy,241213166,235
stars,SithHunter,574967428,290
stars,DarthYoda,288674763,196
stars,Shadowcat USM,825149629,269
stars,Heisenberg,892234357,179
stars,Gibrise USM,731149156,296
stars,TAURUS,663542869,191
stars,PhoenixRed11,841797886,252
stars,Rann,994385236,232
stars,Ceth Senpai,474166757,205
stars,Eckle,228335419,233
stars,Pдсо,238227159,291
stars,DANTE,417327527,295
stars,Bro Beans,891261494,234
stars,Brill Adrien,876538381,194
stars,Zeb,471321961,265
stars,X'loor Bintaghr,125796381,238
stars,Seandwe,737873335,240
stars,RaaRaven,318429567,298
stars,Daxx Zanon,515149882,0
stars,Maz897,853861723,0
stars,Kilum Natta,192664314,0
stars,LΛS,161532583,0
stars,Spicewood Bar,168693856,0
set_defense_stars,Smilol,663333121,154
set_defense_stars,KingK0n,329415631,124
set_defense_stars,Lax Hatif,247151728,124
set_defense_stars,DarthBalken,962597524,154
set_defense_stars,Oicis,855267675,184
set_defense_stars,Spicewood Foo,969812774,184
set_defense_stars,Sem,196429666,154
set_defense_stars,White dead,298782957,154
set_defense_stars,Baxxter Ψ,155398282,154
set_defense_stars,Zakalwe,959123267,154
set_defense_stars,BurglarBeagle,384891228,154
set_defense_stars,Torque,632691185,154
set_defense_stars,Beyla,173624533,154
set_defense_stars,Themi,369992749,124
set_defense_stars,l2ed Leader,857421387,154
set_defense_stars,xcorpio,831499314,184
set_defense_stars,Nerf Herder,222622523,154
set_defense_stars,GrandMoffR10,216462581,154
set_defense_stars,Bluescout99,347221112,124
set_defense_stars,SlizzyFizz,125167493,184
set_defense_stars,ŒArsmant,973534937,154
set_defense_stars,Loreck Avery,163499779,154
set_defense_stars,Sexbobomb,396197254,154
set_defense_stars,DarthYinzer,682841274,184
set_defense_stars,Coimba,685713638,184
set_defense_stars,Gladiator Motoko,683258588,218
set_defense_stars,Corey Gandy,241213166,154
set_defense_stars,SithHunter,574967428,184
set_defense_stars,DarthYoda,288674763,124
set_defense_stars,Shadowcat USM,825149629,154
set_defense_stars,Heisenberg,892234357,124
