Stat,Player,Allycode,Score
stars,Smilol,663333121,210
stars,KingK0n,329415631,186
stars,Lax Hatif,247151728,260
stars,DarthBalken,962597524,235
stars,Oicis,855267675,324
stars,Spicewood Foo,969812774,232
stars,Sem,196429666,285
stars,White dead,298782957,256
stars,Baxxter Ψ,155398282,253
stars,Zakalwe,959123267,213
stars,BurglarBeagle,384891228,234
stars,Torque,632691185,259
stars,Beyla,173624533,245
stars,Themi,369992749,265
stars,l2ed Leader,857421387,230
stars,xcorpio,831499314,282
stars,Nerf Herder,222622523,271
stars,GrandMoffR10,216462581,255
stars,Maz897,853861723,233
stars,Bluescout99,347221112,219
stars,SlizzyFizz,125167493,285
stars,Loreck Avery,163499779,251
stars,ŒArsmant,973534937,253
stars,Sexbobomb,396197254,291
stars,Coimba,685713638,238
stars,DarthYinzer,682841274,276
stars,Corey Gandy,241213166,236
stars,Gladiator Motoko,683258588,378
stars,SithHunter,574967428,297
stars,Shadowcat USM,825149629,235
stars,Gibrise USM,731149156,283
stars,Garbmutt,872156571,285
stars,МЯΞΜRΞ,444289553,182
stars,PhoenixRed11,841797886,206
stars,Rann,994385236,251
stars,Petike,497267437,256
stars,Ceth Senpai,474166757,233
stars,Eckle,228335419,204
stars,Pдсо,238227159,232
stars,DANTE,417327527,235
stars,Bro Beans,891261494,232
stars,Brill Adrien,876538381,206
stars,Zeb,471321961,235
stars,Seandwe,737873335,285
stars,X'loor Bintaghr,125796381,269
stars,RaaRaven,318429567,272
stars,Panamonn,935795417,0
stars,Daxx Zanon,515149882,0
stars,TAURUS,663542869,0
stars,Spicewood Fix,943675763,0
set_defense_stars,Smilol,663333121,154
set_defense_stars,KingK0n,329415631,124
set_defense_stars,Lax Hatif,247151728,124
set_defense_stars,DarthBalken,962597524,154
set_defense_stars,Oicis,855267675,184
set_defense_stars,Spicewood Foo,969812774,154
set_defense_stars,Sem,196429666,184
set_defense_stars,White dead,298782957,154
set_defense_stars,Baxxter Ψ,155398282,154
set_defense_stars,Zakalwe,959123267,154
set_defense_stars,BurglarBeagle,384891228,154
set_defense_stars,Torque,632691185,154
set_defense_stars,Beyla,173624533,154
set_defense_stars,Themi,369992749,124
set_defense_stars,l2ed Leader,857421387,154
set_defense_stars,xcorpio,831499314,154
set_defense_stars,Nerf Herder,222622523,154
set_defense_stars,GrandMoffR10,216462581,154
set_defense_stars,Maz897,853861723,154
set_defense_stars,Bluescout99,347221112,124
set_defense_stars,SlizzyFizz,125167493,154
set_defense_stars,Loreck Avery,163499779,154
set_defense_stars,ŒArsmant,973534937,154
set_defense_stars,Sexbobomb,396197254,154
set_defense_stars,Coimba,685713638,154
set_defense_stars,DarthYinzer,682841274,184
set_defense_stars,Corey Gandy,241213166,154
set_defense_stars,Gladiator Motoko,683258588,218
set_defense_stars,SithHunter,574967428,184
set_defense_stars,Shadowcat USM,825149629,154
set_defense_stars,Gibrise USM,731149156,184
set_defense_stars,Garbmutt,872156571,184
set_defense_stars,МЯΞΜRΞ,444289553,120
set_defense_stars,PhoenixRed11,841797886,154
set_defense_stars,Rann,994385236,154
set_defense_stars,Petike,497267437,124
set_defense_stars,Ceth Senpai,474166757,124
set_defense_stars,Eckle,228335419,124
set_defense_stars,Pдсо,238227159,154
